"","#","Name","Symbol","Market Cap","Price","Circulating Supply","Volume (24h)","% 1h","% 24h","% 7d"
"206",206,"MGO
                        MobileGo","MGO","$75,585,950","$0.771058","98,028,877
                        
                        
                            *","$102,172","1.76%","-7.74%","-21.62%"
"207",207,"PRL
                        Oyster","PRL","$75,552,731","$1.19","63,266,926
                        
                        
                            *","$1,109,820","5.43%","6.53%","-26.90%"
"208",208,"EDO
                        Eidoo","EDO","$74,182,469","$3.28","22,620,193
                        
                        
                            *","$3,452,900","3.26%","-0.52%","-20.35%"
"209",209,"HVN
                        Hive","HVN","$73,261,125","$0.195363","375,000,000
                        
                        
                            *","$176,373","1.99%","-2.82%","-21.75%"
"210",210,"1ST
                        FirstBlood","1ST","$72,948,179","$0.852613","85,558,371
                        
                        
                            *","$1,569,890","1.44%","0.74%","-19.87%"
"211",211,"TAU
                        Lamden","TAU","$71,620,410","$0.503604","142,215,728
                        
                        
                            *","$400,272","1.04%","-0.22%","-29.71%"
"212",212,"LUN
                        Lunyr","LUN","$71,518,609","$31.12","2,297,853
                        
                        
                            *","$1,486,640","2.46%","-6.36%","-10.52%"
"213",213,"XSPEC
                        Spectrecoin","XSPEC","$71,371,816","$3.43","20,785,264
                        
                        
                            *","$411,423","4.52%","3.66%","20.24%"
"214",214,"INK
                        Ink","INK","$71,099,112","$0.398873","178,250,000
                        
                        
                            *","$45,771,900","5.87%","9.19%","19.33%"
"215",215,"TRST
                        WeTrust","TRST","$70,979,284","$0.770279","92,147,500
                        
                        
                            *","$4,424,920","1.60%","-0.11%","-2.69%"
"216",216,"GTO
                        Gifto","GTO","$70,071,486","$0.443880","157,861,327
                        
                        
                            *","$8,510,960","1.80%","2.55%","-14.95%"
"217",217,"IOC
                        I/O Coin","IOC","$68,982,672","$4.18","16,496,401
                        
                        
                            *","$473,326","3.79%","-1.33%","-33.66%"
"218",218,"SLS
                        SaluS","SLS","$68,968,350","$68.29","1,009,862
                        
                        
                            *","$3,289,350","0.77%","2.84%","3.80%"
"219",219,"DLT
                        Agrello","DLT","$68,762,979","$0.799766","85,978,873
                        
                        
                            *","$1,661,410","5.99%","-2.06%","-9.96%"
"220",220,"CAPP
                        Cappasity","CAPP","$68,677,757","$0.210511","326,243,078
                        
                        
                            *","$958,952","5.27%","-11.96%","-28.60%"
"221",221,"LKK
                        Lykke","LKK","$67,625,793","$0.252125","268,223,275
                        
                        
                            *","$108,494","0.36%","-1.64%","-5.98%"
"222",222,"KEY
                        Selfkey","KEY","$67,317,812","$0.037761","1,782,724,371
                        
                        
                            *","$3,039,150","-0.11%","-3.16%","-18.85%"
"223",223,"GRS
                        Groestlcoin","GRS","$67,164,426","$0.969214","69,297,829","$11,602,800","2.44%","-4.07%","-7.77%"
"224",224,"MER
                        Mercury","MER","$66,816,800","$0.668168","100,000,000
                        
                        
                            *","$29,875,700","1.96%","-3.71%","6.12%"
"225",225,"TKN
                        TokenCard","TKN","$66,738,792","$2.73","24,415,678
                        
                        
                            *","$32,942","1.35%","2.92%","9.41%"
"226",226,"GVT
                        Genesis Vision","GVT","$65,179,162","$17.49","3,726,781
                        
                        
                            *","$1,070,800","4.05%","-3.09%","-13.22%"
"227",227,"MNX
                        MinexCoin","MNX","$64,852,800","$21.62","3,000,000","$74,319","-1.74%","-6.04%","-9.56%"
"228",228,"IXT
                        iXledger","IXT","$64,274,904","$1.80","35,778,844
                        
                        
                            *","$1,539,580","4.07%","-6.79%","-11.44%"
"229",229,"TAAS
                        TaaS","TAAS","$63,419,141","$7.79","8,146,001
                        
                        
                            *","$378,347","1.15%","-4.12%","-5.85%"
"230",230,"SHIFT
                        Shift","SHIFT","$62,950,851","$5.40","11,655,925
                        
                        
                            *","$1,031,390","2.32%","-6.10%","-5.52%"
"231",231,"CRW
                        Crown","CRW","$61,815,296","$3.66","16,908,875","$138,132","2.08%","0.97%","1.15%"
